"ID" "Grazed" "Rep" "Achimill" "Agrostol" "Airaprae" "Alopgeni" "Anthodor" "Bellpere" "Bromhord" "Chenalbu" "Cirsarve" "Comapalu" "Eleopalu" "Elymrepe" "Empenigr" "Hyporadi" "Juncarti" "Juncbufo" "Lolipere" "Planlanc" "Poaprat" "Poatriv" "Ranuflam" "Rumeacet" "Sagiproc" "Salirepe" "Scorautu" "Trifprat" "Trifrepe" "Vicilath" "Bracruta" "Callcusp"
"1" 1 "yes" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"2" 2 "yes" 2 0 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 5 0 0 0 0 0
"3" 3 "yes" 3 0 4 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 2 0 0 0 0 0
"4" 4 "yes" 4 0 8 0 0 0 2 3 0 2 0 0 0 0 0 0 0 0 2 0 5 0 0 0 0 2 0 0 0 0 0
"5" 5 "yes" 5 0 0 0 0 4 2 2 0 0 0 0 0 0 0 0 0 0 0 0 6 0 5 0 0 3 2 0 0 0 0
"6" 6 "yes" 6 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 6 0 0 3 5 0 0 0 0
"7" 7 "yes" 7 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 2 0 0 0 5 0 3 0 0 3 2 0 0 0 0
"8" 8 "yes" 8 0 4 0 0 0 0 0 0 0 0 4 0 0 0 4 0 0 0 0 4 2 0 0 0 3 0 0 0 0 0
"9" 9 "yes" 9 0 3 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 0 0 5 0 2 0 0 2 0 0 0 0 0
"10" 10 "yes" 10 0 0 0 0 4 2 4 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 3 0 0 1 0 0
"11" 11 "yes" 11 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 5 0 0 2 0 0
"12" 12 "yes" 12 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 4 0 2 0 0 2 0 0 0 0 0
"13" 13 "yes" 13 0 5 0 0 0 0 0 1 0 0 0 0 0 0 0 3 1 0 0 9 2 0 0 0 2 0 0 0 0 0
"14" 14 "yes" 14 0 4 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 2 0 2 0 0 0 2 0 0 0 0 4
"15" 15 "yes" 15 0 4 0 0 0 0 0 0 0 2 5 0 0 0 3 0 0 0 2 0 2 0 0 0 2 0 0 0 0 0
"16" 16 "yes" 16 0 7 0 0 0 0 0 0 0 0 8 0 0 0 3 0 0 0 0 2 2 0 0 0 0 0 0 0 0 3
"17" 17 "yes" 17 0 0 2 0 4 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"18" 18 "yes" 18 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 0 0 1 0 0
"19" 19 "yes" 19 0 0 3 0 4 0 0 0 0 0 0 0 2 5 0 0 0 0 0 0 0 0 0 3 6 0 0 0 0 0
"20" 20 "yes" 20 0 5 0 0 0 0 0 0 0 0 4 0 0 0 4 0 0 0 0 0 4 0 0 5 2 0 0 0 0 3
"21" 21 "no" 1 1 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 7 0 4 2 0 0 0 0 0 0 0 0 0 0
"22" 22 "no" 2 3 0 0 2 0 3 4 0 0 0 0 4 0 0 0 0 5 0 4 7 0 0 0 0 5 0 5 0 0 0
"23" 23 "no" 3 0 4 0 7 0 2 0 0 0 0 0 4 0 0 0 0 6 0 5 6 0 0 0 0 2 0 2 0 2 0
"24" 24 "no" 4 0 8 0 2 0 2 3 0 2 0 0 4 0 0 0 0 5 0 4 5 0 0 5 0 2 0 1 0 2 0
"25" 25 "no" 5 2 0 0 0 4 2 2 0 0 0 0 4 0 0 0 0 2 5 2 6 0 5 0 0 3 2 2 0 2 0
"26" 26 "no" 6 2 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 6 5 3 4 0 6 0 0 3 5 5 0 6 0
"27" 27 "no" 7 2 0 0 0 2 0 2 0 0 0 0 0 0 0 0 2 6 5 4 5 0 3 0 0 3 2 2 0 2 0
"28" 28 "no" 8 0 4 0 5 0 0 0 0 0 0 4 0 0 0 4 0 4 0 4 4 2 0 2 0 3 0 2 0 2 0
"29" 29 "no" 9 0 3 0 3 0 0 0 0 0 0 0 6 0 0 4 4 2 0 4 5 0 2 2 0 2 0 3 0 2 0
"30" 30 "no" 10 4 0 0 0 4 2 4 0 0 0 0 0 0 0 0 0 6 3 4 4 0 0 0 0 3 0 6 1 2 0
"31" 31 "no" 11 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 7 3 4 0 0 0 2 0 5 0 3 2 4 0
"32" 32 "no" 12 0 4 0 8 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 4 0 2 4 0 2 0 3 0 4 0
"33" 33 "no" 13 0 5 0 5 0 0 0 1 0 0 0 0 0 0 0 3 0 0 2 9 2 0 2 0 2 0 2 0 0 0
"34" 34 "no" 14 0 4 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 6 0 0 4
"35" 35 "no" 15 0 4 0 0 0 0 0 0 0 2 5 0 0 0 3 0 0 0 0 0 2 0 0 0 2 0 1 0 4 0
"36" 36 "no" 16 0 7 0 4 0 0 0 0 0 0 8 0 0 0 3 0 0 0 0 2 2 0 0 0 0 0 0 0 4 3
"37" 37 "no" 17 2 0 2 0 4 0 0 0 0 0 0 0 0 2 0 0 0 2 1 0 0 0 0 0 2 0 0 0 0 0
"38" 38 "no" 18 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 3 3 0 0 0 0 3 5 0 2 1 6 0
"39" 39 "no" 19 0 0 3 0 4 0 0 0 0 0 0 0 2 5 0 0 0 0 0 0 0 0 3 3 6 0 2 0 3 0
"40" 40 "no" 20 0 5 0 0 0 0 0 0 0 0 4 0 0 0 4 0 0 0 0 0 4 0 0 5 2 0 0 0 4 3
