"Plot","Microsite","Exclosure","Gradient","SWC.Peak","Species","Abundance"
17,"Open","Y",0,11.8,"BromusR",58
17,"Shrub","Y",0,12.4,"BromusR",62
17,"Open","Y",0,11.8,"Amsinckia",0
17,"Shrub","Y",0,12.4,"Amsinckia",0
17,"Open","Y",0,11.8,"Brassica",0
17,"Shrub","Y",0,12.4,"Brassica",0
17,"Open","Y",0,11.8,"BromusH",0
17,"Shrub","Y",0,12.4,"BromusH",0
17,"Open","Y",0,11.8,"Erodium",14
17,"Shrub","Y",0,12.4,"Erodium",3
17,"Open","Y",0,11.8,"Hordeum",0
17,"Shrub","Y",0,12.4,"Hordeum",0
17,"Open","Y",0,11.8,"Marrubium",0
17,"Shrub","Y",0,12.4,"Marrubium",0
17,"Open","Y",0,11.8,"Schismus",0
17,"Shrub","Y",0,12.4,"Schismus",0
18,"Open","Y",2,7,"BromusR",13
18,"Shrub","Y",2,5.8,"BromusR",70
18,"Open","Y",2,7,"Amsinckia",0
18,"Shrub","Y",2,5.8,"Amsinckia",0
18,"Open","Y",2,7,"Brassica",0
18,"Shrub","Y",2,5.8,"Brassica",0
18,"Open","Y",2,7,"BromusH",0
18,"Shrub","Y",2,5.8,"BromusH",0
18,"Open","Y",2,7,"Erodium",36
18,"Shrub","Y",2,5.8,"Erodium",4
18,"Open","Y",2,7,"Hordeum",3
18,"Shrub","Y",2,5.8,"Hordeum",0
18,"Open","Y",2,7,"Marrubium",0
18,"Shrub","Y",2,5.8,"Marrubium",0
18,"Open","Y",2,7,"Schismus",0
18,"Shrub","Y",2,5.8,"Schismus",0
22,"Open","Y",4,9.4,"BromusR",0
22,"Shrub","Y",4,6.2,"BromusR",6
22,"Open","Y",4,9.4,"Amsinckia",0
22,"Shrub","Y",4,6.2,"Amsinckia",0
22,"Open","Y",4,9.4,"Brassica",0
22,"Shrub","Y",4,6.2,"Brassica",0
22,"Open","Y",4,9.4,"BromusH",0
22,"Shrub","Y",4,6.2,"BromusH",0
22,"Open","Y",4,9.4,"Erodium",15
22,"Shrub","Y",4,6.2,"Erodium",4
22,"Open","Y",4,9.4,"Hordeum",0
22,"Shrub","Y",4,6.2,"Hordeum",0
22,"Open","Y",4,9.4,"Marrubium",0
22,"Shrub","Y",4,6.2,"Marrubium",0
22,"Open","Y",4,9.4,"Schismus",61
22,"Shrub","Y",4,6.2,"Schismus",29
24,"Open","Y",5,10,"BromusR",21
24,"Shrub","Y",5,4.8,"BromusR",47
24,"Open","Y",5,10,"Amsinckia",0
24,"Shrub","Y",5,4.8,"Amsinckia",0
24,"Open","Y",5,10,"Brassica",0
24,"Shrub","Y",5,4.8,"Brassica",0
24,"Open","Y",5,10,"BromusH",0
24,"Shrub","Y",5,4.8,"BromusH",3
24,"Open","Y",5,10,"Erodium",25
24,"Shrub","Y",5,4.8,"Erodium",12
24,"Open","Y",5,10,"Hordeum",0
24,"Shrub","Y",5,4.8,"Hordeum",0
24,"Open","Y",5,10,"Marrubium",8
24,"Shrub","Y",5,4.8,"Marrubium",0
24,"Open","Y",5,10,"Schismus",29
24,"Shrub","Y",5,4.8,"Schismus",0
25,"Open","N",5,12.8,"BromusR",8
25,"Shrub","N",5,7.6,"BromusR",31
25,"Open","N",5,12.8,"Amsinckia",0
25,"Shrub","N",5,7.6,"Amsinckia",0
25,"Open","N",5,12.8,"Brassica",0
25,"Shrub","N",5,7.6,"Brassica",0
25,"Open","N",5,12.8,"BromusH",0
25,"Shrub","N",5,7.6,"BromusH",0
25,"Open","N",5,12.8,"Erodium",8
25,"Shrub","N",5,7.6,"Erodium",1
25,"Open","N",5,12.8,"Hordeum",0
25,"Shrub","N",5,7.6,"Hordeum",0
25,"Open","N",5,12.8,"Marrubium",0
25,"Shrub","N",5,7.6,"Marrubium",0
25,"Open","N",5,12.8,"Schismus",0
25,"Shrub","N",5,7.6,"Schismus",0
28,"Open","N",4,12.6,"BromusR",30
28,"Shrub","N",4,15.4,"BromusR",84
28,"Open","N",4,12.6,"Amsinckia",0
28,"Shrub","N",4,15.4,"Amsinckia",0
28,"Open","N",4,12.6,"Brassica",0
28,"Shrub","N",4,15.4,"Brassica",0
28,"Open","N",4,12.6,"BromusH",0
28,"Shrub","N",4,15.4,"BromusH",4
28,"Open","N",4,12.6,"Erodium",12
28,"Shrub","N",4,15.4,"Erodium",19
28,"Open","N",4,12.6,"Hordeum",0
28,"Shrub","N",4,15.4,"Hordeum",0
28,"Open","N",4,12.6,"Marrubium",0
28,"Shrub","N",4,15.4,"Marrubium",0
28,"Open","N",4,12.6,"Schismus",0
28,"Shrub","N",4,15.4,"Schismus",0
30,"Open","N",1,12.2,"BromusR",47
30,"Shrub","N",1,7.3,"BromusR",79
30,"Open","N",1,12.2,"Amsinckia",0
30,"Shrub","N",1,7.3,"Amsinckia",0
30,"Open","N",1,12.2,"Brassica",0
30,"Shrub","N",1,7.3,"Brassica",0
30,"Open","N",1,12.2,"BromusH",1
30,"Shrub","N",1,7.3,"BromusH",6
30,"Open","N",1,12.2,"Erodium",19
30,"Shrub","N",1,7.3,"Erodium",12
30,"Open","N",1,12.2,"Hordeum",0
30,"Shrub","N",1,7.3,"Hordeum",0
30,"Open","N",1,12.2,"Marrubium",0
30,"Shrub","N",1,7.3,"Marrubium",0
30,"Open","N",1,12.2,"Schismus",0
30,"Shrub","N",1,7.3,"Schismus",0
31,"Open","N",0,5.1,"BromusR",50
31,"Shrub","N",0,8.4,"BromusR",60
31,"Open","N",0,5.1,"Amsinckia",0
31,"Shrub","N",0,8.4,"Amsinckia",0
31,"Open","N",0,5.1,"Brassica",0
31,"Shrub","N",0,8.4,"Brassica",0
31,"Open","N",0,5.1,"BromusH",0
31,"Shrub","N",0,8.4,"BromusH",3
31,"Open","N",0,5.1,"Erodium",18
31,"Shrub","N",0,8.4,"Erodium",9
31,"Open","N",0,5.1,"Hordeum",0
31,"Shrub","N",0,8.4,"Hordeum",0
31,"Open","N",0,5.1,"Marrubium",0
31,"Shrub","N",0,8.4,"Marrubium",0
31,"Open","N",0,5.1,"Schismus",0
31,"Shrub","N",0,8.4,"Schismus",0
43,"Open","N",2,12.7,"BromusR",61
43,"Shrub","N",2,10.2,"BromusR",67
43,"Open","N",2,12.7,"Amsinckia",0
43,"Shrub","N",2,10.2,"Amsinckia",0
43,"Open","N",2,12.7,"Brassica",0
43,"Shrub","N",2,10.2,"Brassica",0
43,"Open","N",2,12.7,"BromusH",0
43,"Shrub","N",2,10.2,"BromusH",4
43,"Open","N",2,12.7,"Erodium",11
43,"Shrub","N",2,10.2,"Erodium",10
43,"Open","N",2,12.7,"Hordeum",0
43,"Shrub","N",2,10.2,"Hordeum",0
43,"Open","N",2,12.7,"Marrubium",0
43,"Shrub","N",2,10.2,"Marrubium",0
43,"Open","N",2,12.7,"Schismus",0
43,"Shrub","N",2,10.2,"Schismus",0
46,"Open","Y",3,10.5,"BromusR",51
46,"Shrub","Y",3,6.2,"BromusR",221
46,"Open","Y",3,10.5,"Amsinckia",0
46,"Shrub","Y",3,6.2,"Amsinckia",0
46,"Open","Y",3,10.5,"Brassica",0
46,"Shrub","Y",3,6.2,"Brassica",0
46,"Open","Y",3,10.5,"BromusH",0
46,"Shrub","Y",3,6.2,"BromusH",2
46,"Open","Y",3,10.5,"Erodium",14
46,"Shrub","Y",3,6.2,"Erodium",0
46,"Open","Y",3,10.5,"Hordeum",0
46,"Shrub","Y",3,6.2,"Hordeum",0
46,"Open","Y",3,10.5,"Marrubium",0
46,"Shrub","Y",3,6.2,"Marrubium",0
46,"Open","Y",3,10.5,"Schismus",0
46,"Shrub","Y",3,6.2,"Schismus",0
47,"Open","N",0,9,"BromusR",66
47,"Shrub","N",0,6.6,"BromusR",69
47,"Open","N",0,9,"Amsinckia",0
47,"Shrub","N",0,6.6,"Amsinckia",0
47,"Open","N",0,9,"Brassica",0
47,"Shrub","N",0,6.6,"Brassica",0
47,"Open","N",0,9,"BromusH",0
47,"Shrub","N",0,6.6,"BromusH",0
47,"Open","N",0,9,"Erodium",12
47,"Shrub","N",0,6.6,"Erodium",15
47,"Open","N",0,9,"Hordeum",0
47,"Shrub","N",0,6.6,"Hordeum",0
47,"Open","N",0,9,"Marrubium",0
47,"Shrub","N",0,6.6,"Marrubium",0
47,"Open","N",0,9,"Schismus",0
47,"Shrub","N",0,6.6,"Schismus",0
48,"Open","N",4,10.3,"BromusR",66
